Date,Close,Open,High,Low,Volume,PCT
01.01.2015,314.9,318.2,321.4,313.5,12.82K,-1.05%
02.01.2015,315.2,314.9,316.4,313.1,14.73K,0.10%
03.01.2015,287.1,315.2,315.8,284.9,47.37K,-8.91%
04.01.2015,264.7,287.1,289.9,255.9,88.77K,-7.80%
05.01.2015,274.8,264.7,278.3,262.9,54.99K,3.82%
06.01.2015,282.3,274.8,285.1,271.5,21.94K,2.70%
07.01.2015,291.3,282.3,296.1,280.7,30.67K,3.21%
08.01.2015,282.7,291.3,292.7,279.0,20.18K,-2.97%
09.01.2015,288.0,282.7,290.6,277.3,20.93K,1.87%
10.01.2015,273.4,288.0,289.3,272.0,14.73K,-5.08%
11.01.2015,264.8,273.4,278.0,263.8,15.11K,-3.14%
12.01.2015,269.3,264.8,273.1,263.3,25.39K,1.72%
13.01.2015,221.3,269.3,269.1,217.1,95.50K,-17.84%
14.01.2015,164.9,221.3,230.9,157.3,170.68K,-25.47%
15.01.2015,209.8,164.9,231.3,164.6,124.67K,27.20%
16.01.2015,206.9,209.8,222.6,198.7,62.32K,-1.36%
17.01.2015,199.6,206.9,212.6,191.7,43.13K,-3.51%
18.01.2015,210.6,199.6,220.7,192.5,40.37K,5.49%
19.01.2015,215.9,210.6,219.5,205.5,31.58K,2.49%
20.01.2015,210.6,215.9,216.6,203.4,37.48K,-2.46%
21.01.2015,228.2,210.6,229.3,207.1,43.18K,8.37%
22.01.2015,232.7,228.2,238.8,225.6,53.71K,1.99%
23.01.2015,232.2,232.7,237.0,224.8,38.17K,-0.23%
24.01.2015,248.2,232.2,248.9,229.6,33.24K,6.89%
25.01.2015,252.1,248.2,256.4,241.4,50.19K,1.58%
26.01.2015,269.2,252.1,310.9,251.5,105.71K,6.78%
27.01.2015,263.3,269.2,276.9,247.3,50.26K,-2.20%
28.01.2015,236.2,263.3,267.7,228.1,63.77K,-10.29%
29.01.2015,234.0,236.2,241.5,220.4,54.49K,-0.92%
30.01.2015,231.8,234.0,244.8,227.2,48.23K,-0.92%
31.01.2015,218.5,231.8,235.4,216.5,42.15K,-5.75%
01.02.2015,225.3,218.5,231.4,209.7,41.16K,3.10%
02.02.2015,238.9,225.3,242.5,220.5,39.02K,6.02%
03.02.2015,227.4,238.9,247.5,223.9,63.08K,-4.79%
04.02.2015,226.6,227.4,230.7,220.2,55.24K,-0.36%
05.02.2015,216.5,226.6,229.9,214.4,40.64K,-4.44%
06.02.2015,223.0,216.5,226.2,215.6,52.52K,2.97%
07.02.2015,227.7,223.0,231.0,222.4,39.76K,2.12%
08.02.2015,223.7,227.7,230.2,219.5,29.05K,-1.76%
09.02.2015,220.3,223.7,225.0,215.7,91.69K,-1.49%
10.02.2015,219.7,220.3,222.2,214.4,86.15K,-0.30%
11.02.2015,218.8,219.7,223.5,217.3,71.73K,-0.38%
12.02.2015,221.8,218.8,223.0,217.3,50.11K,1.35%
13.02.2015,236.2,221.8,241.6,220.6,112.25K,6.48%
14.02.2015,258.6,236.2,261.3,235.4,133.80K,9.51%
15.02.2015,233.3,258.6,264.6,226.6,179.14K,-9.81%
16.02.2015,235.8,233.3,240.0,228.0,115.47K,1.10%
17.02.2015,243.2,235.8,247.2,232.0,116.26K,3.13%
18.02.2015,235.2,243.2,245.5,231.7,99.66K,-3.29%
19.02.2015,241.9,235.2,244.1,234.9,66.05K,2.86%
20.02.2015,244.5,241.9,247.8,238.8,83.59K,1.07%
21.02.2015,244.4,244.5,247.3,242.6,42.95K,-0.04%
22.02.2015,235.7,244.4,246.5,232.7,75.70K,-3.55%
23.02.2015,238.8,235.7,240.1,231.3,62.67K,1.31%
24.02.2015,238.9,238.8,240.3,235.5,45.03K,0.03%
25.02.2015,237.3,238.9,239.6,234.6,38.10K,-0.65%
26.02.2015,236.5,237.3,238.2,233.5,50.87K,-0.34%
27.02.2015,253.5,236.5,258.7,235.7,167.81K,7.16%
28.02.2015,254.1,253.5,255.4,248.7,39.41K,0.23%
01.03.2015,257.9,254.1,260.6,244.8,51.33K,1.53%
02.03.2015,273.8,257.9,274.8,256.1,81.09K,6.13%
03.03.2015,280.6,273.8,287.1,266.1,164.82K,2.52%
04.03.2015,271.9,280.6,284.5,265.9,139.00K,-3.11%
05.03.2015,275.2,271.9,280.8,262.8,123.64K,1.22%
06.03.2015,272.6,275.2,278.0,269.0,98.80K,-0.97%
07.03.2015,274.9,272.6,278.3,269.4,60.72K,0.86%
08.03.2015,274.5,274.9,278.8,271.3,50.40K,-0.15%
09.03.2015,290.0,274.5,293.3,273.8,151.77K,5.66%
10.03.2015,291.4,290.0,301.0,288.1,158.18K,0.47%
11.03.2015,295.6,291.4,297.7,288.9,79.98K,1.45%
12.03.2015,293.9,295.6,297.0,290.8,107.32K,-0.59%
13.03.2015,287.2,293.9,294.9,286.1,97.34K,-2.26%
14.03.2015,281.6,287.2,288.4,279.3,75.72K,-1.95%
15.03.2015,284.9,281.6,286.4,280.4,39.46K,1.16%
16.03.2015,290.4,284.9,294.0,284.8,66.34K,1.94%
17.03.2015,285.4,290.4,292.5,283.3,65.01K,-1.73%
18.03.2015,255.9,285.4,285.6,248.2,206.74K,-10.32%
19.03.2015,260.9,255.9,264.8,247.0,180.69K,1.96%
20.03.2015,261.8,260.9,264.7,257.9,52.83K,0.33%
21.03.2015,259.7,261.8,263.3,254.0,51.65K,-0.79%
22.03.2015,268.6,259.7,270.4,259.0,56.63K,3.41%
23.03.2015,265.5,268.6,271.0,259.4,81.45K,-1.16%
24.03.2015,246.7,265.5,267.0,242.7,151.09K,-7.06%
25.03.2015,246.4,246.7,249.2,234.8,131.44K,-0.14%
26.03.2015,248.0,246.4,254.7,243.5,89.47K,0.67%
27.03.2015,247.2,248.0,250.1,244.5,62.56K,-0.33%
