Date,Close,Open,High,Low,Volume,PCT
27.06.2019,1.7718,1.8775,1.9412,1.7177,2.64M,-5.63%
28.06.2019,1.8282,1.7718,1.9033,1.7256,1.26M,3.18%
29.06.2019,1.9064,1.8282,1.9181,1.7988,1.01M,4.28%
30.06.2019,1.7616,1.9064,1.9188,1.7536,1.03M,-7.60%
01.07.2019,1.7483,1.7616,1.8047,1.746,714.55K,-0.75%
02.07.2019,1.7262,1.7483,1.757,1.6658,2.41M,-1.27%
03.07.2019,1.7003,1.7262,1.7555,1.6656,763.82K,-1.50%
04.07.2019,1.7873,1.7003,1.804,1.6996,1.01M,5.12%
05.07.2019,1.7647,1.7873,1.8048,1.6902,873.96K,-1.26%
06.07.2019,1.7145,1.7647,1.7712,1.7129,336.31K,-2.85%
07.07.2019,1.733,1.7145,1.751,1.6975,251.60K,1.08%
08.07.2019,1.6196,1.733,1.749,1.6182,1.10M,-6.54%
09.07.2019,1.587,1.6196,1.6248,1.4851,2.84M,-2.02%
10.07.2019,1.5039,1.587,1.5909,1.4825,1.82M,-5.23%
11.07.2019,1.5094,1.5039,1.5675,1.4666,1.93M,0.36%
12.07.2019,1.4902,1.5094,1.5222,1.4209,1.16M,-1.27%
13.07.2019,1.4276,1.4902,1.4994,1.4211,391.30K,-4.20%
14.07.2019,1.4121,1.4276,1.4398,1.3912,1.34M,-1.09%
15.07.2019,1.4516,1.4121,1.4659,1.3679,1.64M,2.80%
16.07.2019,1.3491,1.4515,1.461,1.3336,1.68M,-7.06%
17.07.2019,1.3445,1.3489,1.3797,1.2998,1.83M,-0.34%
18.07.2019,1.3302,1.3444,1.3453,1.2327,2.03M,-1.06%
19.07.2019,1.2498,1.3302,1.3302,1.2106,6.37M,-6.04%
20.07.2019,1.2591,1.2498,1.384,1.2102,1.33M,0.74%
21.07.2019,1.2776,1.2591,1.3433,1.2307,622.70K,1.48%
22.07.2019,1.3004,1.2776,1.3467,1.2732,1.08M,1.78%
23.07.2019,1.3067,1.3004,1.3379,1.2611,760.96K,0.48%
24.07.2019,1.321,1.3067,1.3285,1.2773,684.62K,1.09%
25.07.2019,1.2951,1.321,1.3269,1.2809,783.35K,-1.96%
26.07.2019,1.2785,1.2951,1.3197,1.2611,1.10M,-1.28%
27.07.2019,1.2895,1.2785,1.2907,1.2609,908.95K,0.85%
28.07.2019,1.2835,1.2895,1.2927,1.2549,342.42K,-0.46%
29.07.2019,1.3489,1.2835,1.3533,1.2771,720.16K,5.09%
30.07.2019,1.3339,1.3489,1.3636,1.2937,1.31M,-1.11%
31.07.2019,1.31,1.3339,1.338,1.2939,802.12K,-1.79%
01.08.2019,1.3082,1.31,1.3155,1.2779,1.54M,-0.13%
02.08.2019,1.2871,1.3082,1.3157,1.271,1.08M,-1.62%
03.08.2019,1.3242,1.2871,1.3242,1.2825,752.56K,2.88%
04.08.2019,1.3151,1.3242,1.3246,1.2715,1.42M,-0.68%
05.08.2019,1.3228,1.3151,1.3232,1.2895,1.54M,0.58%
06.08.2019,1.2501,1.3228,1.3444,1.2427,1.35M,-5.49%
07.08.2019,1.2681,1.2502,1.2689,1.2502,381.64K,1.43%
08.08.2019,1.2536,1.2681,1.2709,1.2457,404.77K,-1.14%
09.08.2019,1.2297,1.2536,1.2553,1.2166,1.08M,-1.91%
10.08.2019,1.2298,1.2297,1.2359,1.2124,454.55K,0.01%
11.08.2019,1.3132,1.2298,1.3471,1.2267,1.44M,6.78%
12.08.2019,1.2639,1.3132,1.3132,1.2452,263.51K,-3.75%
13.08.2019,1.2337,1.2639,1.2661,1.2307,156.38K,-2.39%
14.08.2019,1.2534,1.2337,1.3066,1.2255,674.82K,1.60%
15.08.2019,1.2265,1.2534,1.258,1.2157,413.97K,-2.14%
